Num;Fragment;Origin;ToxProb;NoToxProb
0;S;CC(O)=S;0.7326796;0.26732033
1;(;CC(O)=S;0.7326796;0.26732033
2;S;CC(O)=S;0.7326796;0.26732033
3;H]c;n1cccc2cc[nH]c12;0.015628664;0.98437136
4;(;O=C(c1ccccc1)C(O)(C)C;0.9323291;0.0676709
5;(C;O=C(c1ccccc1)C(O)(C)C;0.9323291;0.0676709
6;C;C=CCCCCCCC=C;0.9867243;0.013275687
7;CC;n1ccc(cc1)N2CCCCC2;0.7044188;0.2955812
8;C;n1ccc(cc1)N2CCCCC2;0.7044188;0.2955812
9;(;O=C(O)C1CCC(N)CC1;0.859612;0.14038803
10;(;O=C(O)C1CCC(N)CC1;0.859612;0.14038803
11;);O=C(O)C1CCC(N)CC1;0.859612;0.14038803
12;(;O=C(NCc1cnccc1)C;0.94140905;0.058590904
13;(;O=C(OC)CC(=O)CC;0.7258294;0.27417064
14;C(;O=C(OC)CC(=O)CC;0.7258294;0.27417064
15;Cl;O=C(O)Cc1ccccc1CCl;0.21776797;0.78223205
16;(;O=C(O)Cc1ccccc1CCl;0.21776797;0.78223205
17;C(;O=C(O)C1CNCCC1;0.75366193;0.24633804
18;Cl;O(C)C(C(C)C)Cl;0.8443024;0.15569755
19;(;O(C)C(C(C)C)Cl;0.8443024;0.15569755
20;(;O(C)C(C(C)C)Cl;0.8443024;0.15569755
21;C(;C(=C(C)C)C;0.9219435;0.07805647
22;(;C(=C(C)C)C;0.9219435;0.07805647
23;);C(=C(C)C)C;0.9219435;0.07805647
24;(;O=C(OC)C(NCc1occc1)CC;0.8691574;0.13084263
25;C;O=C(OC)C(NCc1occc1)CC;0.8691574;0.13084263
26;(;O=C(OC)C(CCCC)Br;0.8237111;0.17628884
27;(;O=C(OC)C(CCCC)Br;0.8237111;0.17628884
28;(;O=C(N(C)C)CCOCCCC;0.91708815;0.08291189
29;(;O=C(N(C)C)CCOCCCC;0.91708815;0.08291189
30;);O=C(N(C)C)CCOCCCC;0.91708815;0.08291189
31;(;O(C)C(c1ccccc1)(c2ccccc2)c3ccccc3;0.962536;0.03746406
32;(;O=C(O)C=Cc1cc(OC)c(OC)c(OC)c1;0.7664488;0.23355123
33;(;O=C(NC(OC)C)C;0.835793;0.16420694
34;(;O=C(NC(OC)C)C;0.835793;0.16420694
35;(;O=C(NC(OC)C)C;0.835793;0.16420694
36;(;O=C(NN)CCc1ccc(O)cc1;0.9031841;0.0968159
37;);O=C(NN)CCc1ccc(O)cc1;0.9031841;0.0968159
38;Cl);O=C(OCCCl)C;0.20573142;0.79426855
39;(;O=C(OCCCl)C;0.20573142;0.79426855
40;CC3;OC3c2cccc(OCc1ccccc1)c2CCC3;0.3563072;0.6436928
41;2C;O=C2C1=C(CCC1)SN2C;0.6292543;0.37074575
42;(;O=C2C1=C(CCC1)SN2C;0.6292543;0.37074575
43;CCl;O=C(c1ccc(OC)cc1)CCl;0.24686994;0.75313
44;(;O=C(c1ccc(OC)cc1)CCl;0.24686994;0.75313
45;(C;c1cc(ccc1CC(C)C)Br;0.9032748;0.096725255
46;(;O=C(OC)C=CC(=O)OCc1ccccc1;0.7561698;0.24383023
47;(;O=C(OC)C=CC(=O)OCc1ccccc1;0.7561698;0.24383023
48;CCl;OCCOCCOCCCl;0.5195365;0.48046345
49;(;FC(F)(F)c1cccc(N)c1C;0.9487686;0.05123138
50;(;FC(F)(F)c1cccc(N)c1C;0.9487686;0.05123138
51;(;FC(F)(F)c1cccc(N)c1C;0.9487686;0.05123138
52;);FC(F)(F)c1cccc(N)c1C;0.9487686;0.05123138
53;(;O=C(N)C(N)Cc1ccccc1;0.8715724;0.1284276
54;(;O=C(N)C(N)Cc1ccccc1;0.8715724;0.1284276
55;);O=C(N)C(N)Cc1ccccc1;0.8715724;0.1284276
56;(;O=C(N)C(N)Cc1ccccc1;0.8715724;0.1284276
57;2CS2;C(C1CS1)SCC2CS2;0.17493945;0.8250606
58;(c;OB(O)c1ccc(cc1)CC;0.38286644;0.6171336
59;(;OB(O)c1ccc(cc1)CC;0.38286644;0.6171336
60;Cl;O=C(N(CCCC)CCCC)CCl;0.85404545;0.14595449
61;(;O=C(N(CCCC)CCCC)CCl;0.85404545;0.14595449
62;(;O=C(N(CCCC)CCCC)CCl;0.85404545;0.14595449
63;)Cl;Fc1ccc(cc1Cl)Cl;0.24965109;0.75034887
64;(;Fc1ccc(cc1Cl)Cl;0.24965109;0.75034887
65;(C);NCC(C)(C)CN;0.9206197;0.0793803
66;(;NCC(C)(C)CN;0.9206197;0.0793803
67;S;C(=NCCCCC=C)=S;0.7524518;0.24754825
68;C;C(=NCCCCC=C)=S;0.7524518;0.24754825
69;S;C(=NCCCCC=C)=S;0.7524518;0.24754825
70;(;C(=NCCCCC=C)=S;0.7524518;0.24754825
71;S;C(=NCCCCC=C)=S;0.7524518;0.24754825
72;C;C(=NCCCCC=C)=S;0.7524518;0.24754825
73;S;C(=NCCCCC=C)=S;0.7524518;0.24754825
74;C;O=Cc1ccccc1SC;0.9156173;0.08438276
75;CCl;C(#CCCl)CCl;0.9128217;0.08717832
76;(;C(#CCCl)CCl;0.9128217;0.08717832
77;l;C(#CCCl)CCl;0.9128217;0.08717832
78;C(;O=C(OC)OCC;0.726762;0.27323797
79;(;OCc1ncc(c(OC)c1C)C;0.55792594;0.44207403
80;);OCc1ncc(c(OC)c1C)C;0.55792594;0.44207403
81;(;O=C(NC1CC1)C(O)C(N)CCC;0.91319805;0.08680195
82;(;O=C(NC1CC1)C(O)C(N)CCC;0.91319805;0.08680195
83;(;O=C(NC1CC1)C(O)C(N)CCC;0.91319805;0.08680195
84;(;O=C(NC1CC1)C(O)C(N)CCC;0.91319805;0.08680195
85;(;O=C(NC1CC1)C(O)C(N)CCC;0.91319805;0.08680195
86;c;O(c1cccc(c1)Br)C;0.39126047;0.60873955
87;r;O(c1cccc(c1)Br)C;0.39126047;0.60873955
88;(;C#CC(O)(C)C(C)C;0.9708711;0.02912886
89;(C;C#CC(O)(C)C(C)C;0.9708711;0.02912886
90;(;C#CC(O)(C)C(C)C;0.9708711;0.02912886
91;(c;O=Cc1ccc(cc1)c2ccc(cc2)CC;0.78797424;0.21202575
92;Cl;O=C(O)c2cc1c(cccc1s2)Cl;0.3182496;0.68175036
93;(;O=C(O)c2cc1c(cccc1s2)Cl;0.3182496;0.68175036
94;(;OCC(CCC)CCCCC;0.9797824;0.020217637
95;(;N(=Cc1ccccc1)c2ccccc2;0.81899774;0.18100226
96;c;N(=Cc1ccccc1)c2ccccc2;0.81899774;0.18100226
97;Cl;N#CCCN1CCCCC1CCCl;0.10705185;0.8929482
98;(C);O=CC1C(C)CCCC1(C)(C);0.8661523;0.13384767
99;(c;O=Cc1ccc2cc(O)ccc2(c1);0.124256246;0.8757437
100;(;O=C(OC)CCNC(C)C;0.851414;0.14858592
101;(;O=C(OC)CCNC(C)C;0.851414;0.14858592
102;(;O=C(OC)CCNC(C)C;0.851414;0.14858592
103;(;C#CC(=CC(C)C)C;0.96410894;0.035891015
104;C;C#CC(=CC(C)C)C;0.96410894;0.035891015
105;(;C#CC(=CC(C)C)C;0.96410894;0.035891015
106;(;C#CC(=CC(C)C)C;0.96410894;0.035891015
107;(;C#CC(=CC(C)C)C;0.96410894;0.035891015
108;C;C#CC(=CC(C)C)C;0.96410894;0.035891015
109;CCl;O1CCOC1(C)CCCl;0.07597216;0.9240278
110;(;O=C(OCC)C=C(C)C;0.78373814;0.2162619
111;(;O=C(OCC)C=C(C)C;0.78373814;0.2162619
112;[nH]c;OCc1nc[nH]c1C;0.14706573;0.8529343
113;(N);O=C(O)c1nccnc1(N);0.75665396;0.24334598
114;(;O=C(O)c1nccnc1(N);0.75665396;0.24334598
115;r;O1CCCOC1CCBr;0.93134266;0.06865738
116;(;O=C(O)C(c1ccc(N)cc1)C;0.83210033;0.16789964
117;(;O=C(O)C(c1ccc(N)cc1)C;0.83210033;0.16789964
118;23;C1=CC2CC1C3CCCC23;0.15179619;0.84820384
119;c;OCCSc1ccc(cc1)Sc2ccc(cc2)SCCO;0.86921066;0.13078927
120;C;OCCSc1ccc(cc1)Sc2ccc(cc2)SCCO;0.86921066;0.13078927
121;)c;ON=CCc1ccc(OC)cc1;0.26365203;0.736348
122;C;ON=CCc1ccc(OC)cc1;0.26365203;0.736348
123;C;O=C(OCCCCOC=C)C(=C)C;0.7782113;0.2217887
124;(;O=C(OCCCCOC=C)C(=C)C;0.7782113;0.2217887
125;C;O=C(OCCCCOC=C)C(=C)C;0.7782113;0.2217887
126;(;O=C(OCCCCOC=C)C(=C)C;0.7782113;0.2217887
127;(;O=C(Nc1ccc(F)cc1)C;0.9186703;0.08132978
128;C;O=C(Nc1ccc(F)cc1)C;0.9186703;0.08132978
129;C;OCCC=C;0.7767722;0.22322778
130;2;O=C2NCCc1ccc(OC)cc1C2;0.27915445;0.7208456
131;(;O=C(C)SCS;0.9181212;0.08187883
132;S;O=C(C)SCS;0.9181212;0.08187883
133;(;O=C(F)C(F)(F)CI;0.20273772;0.7972623
134;(;O=C(F)C(F)(F)CI;0.20273772;0.7972623
135;(;O=C(F)C(F)(F)CI;0.20273772;0.7972623
136;(;O=C(F)C(F)(F)CI;0.20273772;0.7972623
137;(;O=C(F)C(F)(F)CI;0.20273772;0.7972623
138;(;O=C(F)C(F)(F)CI;0.20273772;0.7972623
139;(;O=C(F)C(F)(F)CI;0.20273772;0.7972623
140;(;O=C(F)C(F)(F)CI;0.20273772;0.7972623
141;(c;Oc1ccc(cc1)S;0.76527935;0.23472068
142;)Cl;n1cc(OC)c(nc1Cl)Cl;0.10290076;0.8970992
143;c;Nc1ccc(cc1Cl)I;0.6391394;0.36086062
144;l;Nc1ccc(cc1Cl)I;0.6391394;0.36086062
145;(;OCNCC(O)C;0.7992294;0.20077056
146;C;OCNCC(O)C;0.7992294;0.20077056
147;(;OCNCC(O)C;0.7992294;0.20077056
148;(;OCC1OC(OC)CC1(O);0.876625;0.123374954
149;(;OCC1OC(OC)CC1(O);0.876625;0.123374954
150;S(=;O=S(=O)(C=C)C=C;0.42069787;0.57930213
151;(;O=S(=O)(C=C)C=C;0.42069787;0.57930213
152;(;O=C(Nc1ccccc1)c2ccccc2SC;0.9596587;0.040341284
153;)cc;O=CCc1ccc(OC)cc1;0.14669901;0.8533009
154;(;O=C(N(C=C)C)C;0.7959598;0.20404026
155;(;O=C(N(C=C)C)C;0.7959598;0.20404026
156;);O=C(N(C=C)C)C;0.7959598;0.20404026
157;);O=C(N(C=C)C)C;0.7959598;0.20404026
158;);O=C(N(C=C)C)C;0.7959598;0.20404026
159;Cl;n1ccn2nc(ccc12)Cl;0.400038;0.59996194
160;(;n1ccn2nc(ccc12)Cl;0.400038;0.59996194
161;(;O=C1CCN(CC1)CC(C)C;0.95865226;0.041347794
162;(;O=C1CCN(CC1)CC(C)C;0.95865226;0.041347794
163;c;Oc2ccc(Oc1ccccc1)cc2;0.8133752;0.18662481
164;2;Oc2ccc(Oc1ccccc1)cc2;0.8133752;0.18662481
165;2;O=C1c3ccccc3(OCc2ccccc12);0.295241;0.704759
166;(;O=C1c3ccccc3(OCc2ccccc12);0.295241;0.704759
167;2;O=C1c3ccccc3(OCc2ccccc12);0.295241;0.704759
168;(;N1C(=S)SCC1(C)C;0.97529763;0.02470234
169;(;O(C(C)C)C(C)C;0.9352753;0.06472465
170;C;O(C(C)C)C(C)C;0.9352753;0.06472465
171;(;C=CCCC1CCC(CC1)C2CCC(CCC)CC2;0.833794;0.166206
172;(;C=CCCC1CCC(CC1)C2CCC(CCC)CC2;0.833794;0.166206
173;(;C=CCCC1CCC(CC1)C2CCC(CCC)CC2;0.833794;0.166206
174;N)c;n1ocnc1c2ccc(N)cc2;0.43763798;0.562362
175;(;O=C1CCCCC1CC2C(=O)CCCC2;0.8238117;0.17618822
176;2;O=C1CCCCC1CC2C(=O)CCCC2;0.8238117;0.17618822
177;(c;O=C(O)c1cc(ccc1(F))I;0.8658285;0.13417147
178;(;O=C(O)c1cc(ccc1(F))I;0.8658285;0.13417147
179;I;O=C(O)c1cc(ccc1(F))I;0.8658285;0.13417147
180;23;O=CCCC=C1CC2CC1C3CCCC23;0.49502453;0.50497544
181;C;O(c1cccc(c1)C(C)(C)C)CC;0.93778515;0.06221484
182;C;O(c1cccc(c1)C(C)(C)C)CC;0.93778515;0.06221484
183;S(=;O=S(=O)(O)c1cnccc1;0.6021285;0.3978715
184;(;O=S(=O)(O)c1cnccc1;0.6021285;0.3978715
185;(C;CC(C)(C)O;0.93738085;0.062619194
186;(;CC(C)(C)O;0.93738085;0.062619194
187;(c;c1cc(ccc1c2ccc(cc2)I)I;0.5921563;0.40784374
188;(;O(C)CCN(CC)CC;0.832989;0.16701105
189;Cl;O=C(OC)c1nccc(c1)Cl;0.811217;0.18878295
190;(;O=C(OC)c1nccc(c1)Cl;0.811217;0.18878295
191;(;O=C(OCC)CCCC(O)CCCCC;0.91925305;0.080746934
192;(;O=C(OCC)CCCC(O)CCCCC;0.91925305;0.080746934
193;C;O=C1C=CC(=CN1c2ccccc2)C;0.8778961;0.122103855
194;r;O(c1c(cc(cc1C)Br)C)C;0.94208676;0.057913247
195;C;O(c1c(cc(cc1C)Br)C)C;0.94208676;0.057913247
196;(;O(c1c(cc(cc1C)Br)C)C;0.94208676;0.057913247
197;r;O(c1c(cc(cc1C)Br)C)C;0.94208676;0.057913247
198;C;O(c1c(cc(cc1C)Br)C)C;0.94208676;0.057913247
199;(;O=C(Nc1ccc(cc1)N(CC)C(C)C)C;0.9461998;0.053800177
200;(;O1CC(C)(COC1C(C)CCC)CCC;0.9929006;0.007099467
201;(;O1CC(C)(COC1C(C)CCC)CCC;0.9929006;0.007099467
202;(;O1CC(C)(COC1C(C)CCC)CCC;0.9929006;0.007099467
203;Cl;n1c2cc(ccc2(ccc1C))Cl;0.30741343;0.69258654
204;(;O=C(OC)CCN1CCCCC1CCO;0.8809373;0.11906277
205;Cl;O(CC)CCl;0.06228741;0.9377126
206;(;OCC(C)(COCC)CCC;0.97627515;0.02372481
207;(;OCC(C)(COCC)CCC;0.97627515;0.02372481
208;S)Cl;O(CC)P(OCC)(=S)Cl;0.0665109;0.933489
209;(;O=C1NCC2C1C2(C)(C);0.9037296;0.09627044
210;(C);O=C1NCC2C1C2(C)(C);0.9037296;0.09627044
211;Nc;O=C=Nc1cccc(O)c1;0.6873644;0.3126356
212;Cl;O=C(c2ccccc2(c1ccccc1))Cl;0.89648795;0.10351203
213;(;O=C(c2ccccc2(c1ccccc1))Cl;0.89648795;0.10351203
214;C;Oc1ccccc1CCc2cccc(OC)c2;0.93323547;0.0667646
215;(;O=C(c1ccc(cc1)CC)CC;0.8716822;0.1283177
216;C;O=C(c1ccc(cc1)CC)CC;0.8716822;0.1283177
217;(;O=C(OC)C=Cc1ccc(O)cc1;0.8645226;0.13547744
218;(;O=C(OC)C=Cc1ccc(O)cc1;0.8645226;0.13547744
219;N;C=CCNN;0.21932426;0.7806757
220;=C;C=CCNN;0.21932426;0.7806757
221;(;N#CCCC(C#N)CC#N;0.948222;0.05177805
222;)C;N#CCCC(C#N)CC#N;0.948222;0.05177805
223;#;N#CC(=O)OCCCC;0.7219143;0.27808565
224;(;N#CC(=O)OCCCC;0.7219143;0.27808565
225;N)scc;N#Cc1c(N)scc1C;0.35848475;0.6415152
226;N;N#CCCOCCCCOCCC#N;0.94531465;0.054685365
227;(;O=C(OCCC(OC)(C)C)C;0.9234432;0.076556765
228;(;O=C(OCCC(OC)(C)C)C;0.9234432;0.076556765
229;(;O=C(OCCC(OC)(C)C)C;0.9234432;0.076556765
230;(;O=C(OCCC(OC)(C)C)C;0.9234432;0.076556765
231;(;O=C(O)c2ccccc2(c1ccccc1);0.7220444;0.27795556
232;c;O=C(O)c2ccccc2(c1ccccc1);0.7220444;0.27795556
233;(;OCCC1N(C)CCC1;0.9527496;0.04725039
234;(;O1OC(C)(C)CC(OC1(C)C)C;0.95994765;0.04005239
235;(;O1OC(C)(C)CC(OC1(C)C)C;0.95994765;0.04005239
236;(;O1OC(C)(C)CC(OC1(C)C)C;0.95994765;0.04005239
237;(;O1OC(C)(C)CC(OC1(C)C)C;0.95994765;0.04005239
238;(;O1OC(C)(C)CC(OC1(C)C)C;0.95994765;0.04005239
239;F);O=Cc1cc(ccc1(F))Br;0.0830709;0.91692907
240;F);O=Cc1cc(ccc1(F))Br;0.0830709;0.91692907
241;F);O=Cc1cc(ccc1(F))Br;0.0830709;0.91692907
242;(;O=C(OCCOCCCC)c1ccccc1;0.26609975;0.7339003
243;cc;O=C(OCCOCCCC)c1ccccc1;0.26609975;0.7339003
244;(;O=C(OCC=C)COC1CCCCC1;0.6714886;0.32851142
245;C;O=C(OCC=C)COC1CCCCC1;0.6714886;0.32851142
246;(;O(c1ccc2c(c1)CCNCC2)C;0.8758753;0.12412472
247;C;O(c1ccc2c(c1)CCNCC2)C;0.8758753;0.12412472
248;(c;O=C2N(c1ccccc1)CCOC2;0.6714734;0.32852668
249;2;O=C2N(c1ccccc1)CCOC2;0.6714734;0.32852668
250;(;O=C(O)CCSc2nc1ccccc1s2;0.21828866;0.7817113
251;c1;O=C(O)CCSc2nc1ccccc1s2;0.21828866;0.7817113
252;(;O=C(OCC#C)NCCCC;0.7885113;0.21148874
253;(;O=C(O)CCCc1ccc(O)cc1;0.8519081;0.14809185
254;(;O(C)COCCN(CCOCOC)CCOCOC;0.8300265;0.16997346
255;C;O(C)COCCN(CCOCOC)CCOCOC;0.8300265;0.16997346
256;(;O(C)COCCN(CCOCOC)CCOCOC;0.8300265;0.16997346
257;cs;O=Cc1c(OC)ccs1;0.9384883;0.061511725
258;c;Nc1ccccc1Cc2ccccc2;0.9392274;0.06077261
259;=S;C(=NC)=S;0.054618903;0.94538116
260;(;C(=NC)=S;0.054618903;0.94538116
261;C;C(=NC)=S;0.054618903;0.94538116
262;C(;O(C=C(C)C)C;0.85054904;0.14945094
263;(;O=C(OC)C(O)CCc1ccccc1;0.7902021;0.20979798
264;(;O=C(OC)C(O)CCc1ccccc1;0.7902021;0.20979798
265;S(=;O=S(=O)(Oc1ccccc1)C;0.7376454;0.26235458
266;(;O=S(=O)(Oc1ccccc1)C;0.7376454;0.26235458
267;(;O1CCC(C)CC1;0.95819193;0.0418081
268;(;NCCCN(CCCN)CCCCCCCCCCCC;0.98530394;0.014696015
269;C;NCCCN(CCCN)CCCCCCCCCCCC;0.98530394;0.014696015
270;(;O=C(c1ccccc1)CN;0.5373058;0.46269426
271;N;O=C(c1ccccc1)CN;0.5373058;0.46269426
272;1;O=C(c1ccccc1)CN;0.5373058;0.46269426
273;N;O=C(c1ccccc1)CN;0.5373058;0.46269426
274;C;C#Cc1ccc(cc1)CC;0.55312437;0.4468757
275;c;C#Cc1ccc(cc1)CC;0.55312437;0.4468757
276;C;C#Cc1ccc(cc1)CC;0.55312437;0.4468757
277;](;CC[SiH](C)CC;0.95112276;0.048877213
278;i;CC[SiH](C)CC;0.95112276;0.048877213
279;(;OC1OCCC(C)C1;0.96383446;0.03616555
280;(;O=C(O)CCP(O)C;0.8680423;0.1319577
281;(;O=C(O)CCP(O)C;0.8680423;0.1319577
282;=;N#Cc1ccc(cc1)C(=O)OCC;0.4879712;0.5120289
283;C;N#Cc1ccc(cc1)C(=O)OCC;0.4879712;0.5120289
284;CCl;O=C(Nc1ccc(O)cc1)CCl;0.21628892;0.7837111
