,AID,AID Version,AID Revision,Panel Member ID,SID,CID,Bioactivity Outcome,Target GI,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Bioassay Type,PubMed ID,RNAi
0,922090,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: RBC (Erythrocytes); Study_ID: S040609,Other,,
1,922091,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: HGB (Hemoglobin); Study_ID: S040609,Other,,
2,922092,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: NEUTLE (Neutrophils/Leukocytes); Study_ID: S040609,Other,,
3,922093,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: HCT (Hematocrit); Study_ID: S040609,Other,,
4,922094,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: MCH (Ery. Mean Corpuscular Hemoglobin); Study_ID: S040609,Other,,
5,922095,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: PLAT (Platelets); Study_ID: S040609,Other,,
6,922096,1,3,,174520288,7266,Unspecified,,,,,"DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: NEUTSG (Neutrophils, Segmented); Study_ID: S040609",Other,,
7,922097,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: LYM (Lymphocytes); Study_ID: S040609,Other,,
8,922098,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: BASOLE (Basophils/Leukocytes); Study_ID: S040609,Other,,
9,922099,1,3,,174520288,7266,Unspecified,,,,,DrugMatrix: Regimen: Daily Repeat; Time: 3 day; Dose: High; Vehicle: 100 % water; Route: oral gavage | Dataset: Hematology; Assay: LYMLE (Lymphocytes/Leukocytes); Study_ID: S040609,Other,,
