1;4697-14-7;O=C(O)C(C(=O)NC2C(=O)N1C(C(=O)O)C(C)(C)SC12)c3ccsc3;0;TS;-0,05;non-mutagenic;-0,02;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,932;0,869;1;1;True;1;non-mutagenic;;0,803;0,892;1;1;0,85;non-mutagenic;0;3;"SM115; SM156; SM176";0,932;0,869;1;1;1;non-mutagenic;4;0,925;0,855;1;1;1;non-mutagenic;non-mutagenic;non-mutagenic
2;26166-39-2;O=Cc1c(O)c(c(O)c(c1C)Cl)CC=C(C=CC2(C)(C(C(=O)CCC2(C))C))C;0;TS;0;non-mutagenic;0;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,671;0,779;0,334;1;True;1;mutagenic;"SA11 Simple aldehyde; SA38 Alkenylbenzenes";0;0,765;0,507;0;0,85;non-mutagenic;0;6;"SM162; SM163; SM169; SM177; SM182; SM190";0;0,779;0;1;1;non-mutagenic;4;0,882;0,777;1;1;1;non-mutagenic;non-mutagenic;non-mutagenic
3;52238-92-3;O=C(Nc1cc(c(cc1Cl)NC(=O)c3cc4ccccc4(c(N=Nc2cc(ccc2Cl)C(F)(F)F)c3(O)))Cl)c6cc7ccccc7(c(N=Nc5cc(ccc5Cl)C(F)(F)F)c6(O));0;TS;-0,23;non-mutagenic;0,25;non-mutagenic;0,33;non-mutagenic;mutagenic;SA29 Aromatic diazo;0;0,772;0,335;0,335;False;1;mutagenic;SA29 Aromatic diazo;0,74;0,757;1;1;0,85;mutagenic;1;2;"SM105; SM147; SM193";0,509;0,772;0,335;0,335;1;mutagenic;4;0,873;0,762;1;1;1;mutagenic;mutagenic;
4;36734-19-7;O=C(NC(C)C)N2C(=O)N(c1cc(cc(c1)Cl)Cl)C(=O)C2;0;TS;0,17;non-mutagenic;-0,21;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,809;0,804;1;0,663;True;1;non-mutagenic;;0,753;0,79;1;0,516;1;non-mutagenic;0;3;"SM144; SM183; SM203";0,73;0,804;0,663;0,663;1;non-mutagenic;4;0,781;0,812;0,751;0,751;1;non-mutagenic;non-mutagenic;non-mutagenic
5;33765-68-3;O=C4C=C3CCC1C(CCC2(C)(C(O)C(CC)CC12))C3CC4;0;TS;-0,01;non-mutagenic;0,05;non-mutagenic;0,33;non-mutagenic;non-mutagenic;;0,982;0,965;1;1;True;1;mutagenic;SA10 alfa, beta unsaturated carbonyls;0;0,916;0,513;0;1;non-mutagenic;0;8;"SM113; SM157; SM162; SM163; SM169; SM177; SM180; SM182";0,982;0,965;1;1;1;non-mutagenic;4;0,973;0,946;1;1;1;non-mutagenic;non-mutagenic;non-mutagenic
6;21725-46-2;N#CC(Nc1nc(nc(n1)Cl)NCC)(C)C;0;TS;-0,1;non-mutagenic;0,26;non-mutagenic;0;non-mutagenic;mutagenic;SA28bis Aromatic mono- and dialkylamine;0;0,935;0,333;0;True;1;mutagenic;SA28bis Aromatic mono- and dialkylamine;0;0,799;0,423;0;0,85;non-mutagenic;0;4;"SM120; SM165; SM179; SM192";0,967;0,935;1;1;1;non-mutagenic;4;0,961;0,924;1;1;1;non-mutagenic;non-mutagenic;non-mutagenic
7;72015-26-0;n1nc(oc1C=Cc2ccc(OCCCC)cc2)C(Cl)(Cl)Cl;0;TS;;;0,56;mutagenic;1;mutagenic;non-mutagenic;;0,475;0,765;0,669;1;True;0,6;non-mutagenic;;0,629;0,763;1;0,515;0,85;mutagenic;1;0;SM85;0;0,765;0,336;0;0,6;mutagenic;4;0,85;0,822;1;0,77;1;mutagenic;non-mutagenic;non-mutagenic
8;68516-73-4;O=C(OC)c3ccc(C(=O)OC)c(N=NC(C(=O)Nc1ccc(cc1)NC(=O)C(N=Nc2cc(ccc2(C(=O)OC))C(=O)OC)C(=O)C)C(=O)C)c3;0;TS;0,2;non-mutagenic;0,09;non-mutagenic;0,33;non-mutagenic;non-mutagenic;;0,802;0,782;1;0,678;True;1;non-mutagenic;;0,89;0,792;1;1;1;mutagenic;2;3;"SM100; SM105; SM126; SM154; SM170";0,502;0,782;0,322;0,322;1;non-mutagenic;4;0,53;0,799;0,235;0,525;1;non-mutagenic;non-mutagenic;non-mutagenic
11;70950-45-7;O=C(OCCCCCCCCCCCC)c1ccc(c(c1)NC(=O)C(C(=O)c2ccc(OC)cc2)N4C(=O)N(Cc3ccccc3)C(OCC)C4(=O))Cl;0;TS;-0,07;non-mutagenic;0,16;non-mutagenic;0,33;non-mutagenic;non-mutagenic;;0,603;0,77;0,332;0,672;True;1;non-mutagenic;;0,863;0,744;1;1;1;mutagenic;2;7;"SM94; SM98; SM115; SM146; SM157; SM163; SM170; SM176; SM193";0,599;0,77;0,66;0,328;1;non-mutagenic;4;0,736;0,762;0,505;1;1;non-mutagenic;non-mutagenic;non-mutagenic
12;3147-75-9;Oc1ccc(cc1n2nc3ccccc3(n2))C(C)(C)CC(C)(C)C;0;TS;0,03;non-mutagenic;0,55;mutagenic;0,33;non-mutagenic;non-mutagenic;;0,687;0,796;1;0,673;True;0,85;non-mutagenic;;0;0,769;1;0;0,4;non-mutagenic;0;1;SM182;0,519;0,796;0,327;0,673;0,85;non-mutagenic;4;0,838;0,802;1;0,766;1;non-mutagenic;non-mutagenic;non-mutagenic
13;95050-16-1;O=C(Nc1ccc(c(c1)NC(=O)C(C(=O)C(C)(C)C)N3C(=O)N(Cc2ccccc2)C(OCC)C3(=O))Cl)C(Oc4ccc(cc4C(C)(C)CC)C(C)(C)CC)CC;0;TS;0,11;non-mutagenic;0,05;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,864;0,747;1;1;True;1;non-mutagenic;;0,721;0,725;1;0,514;1;mutagenic;3;7;"SM94; SM95; SM98; SM115; SM117; SM128; SM154; SM156; SM176; SM182";0;0,747;0,672;0;1;non-mutagenic;4;0,732;0,756;0,501;1;1;non-mutagenic;;non-mutagenic
